siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
316893379,00040,31689337900040,O,2002-01-01,NN,,3315ZZ,2025-12-06T01:30:13.582,true,A,O,,1979-01-01,1000,,,M,SANDILLON,SANDILLON REZER,YVES,FRANCOIS,,,YVES,,33.15Z,NAFRev2,,,,NN,,00040,2025-12-06T11:20:43.187,PME,2023,LA HUME,20,,,ALLEE,ROGER DELUGIN,33470,GUJAN-MESTRAS,,33199,,,331990793_B,373782.2836559805,6402023.888647346,A,,,,LA PETITE VOILERIE DE LA HUME,33.15Z,NAFRev2,N,33.15Y
320216047,00037,32021604700037,O,2018-08-21,01,2023,,2025-12-05T22:30:51.547,true,A,O,,1980-06-24,5710,GRAND CHANTIER DES PRES SALES,,,,,,,,,,,33.15Z,NAFRev2,,N,,01,2023,00037,2025-12-06T06:09:37.138,PME,2023,,10,,,,LAPIN BLANC,33115,LA TESTE DE BUCH,,33529,,,33529B246_C,,,A,,,,,33.15Z,NAFRev2,O,33.15Y
322048513,00046,32204851300046,O,2015-08-27,NN,,3315ZZ,2025-12-05T20:48:55.842,true,A,O,,1981-07-01,1000,,,M,LASSAUX,,YANNICK,,,,YANNICK,,33.15Z,NAFRev2,,,,NN,,00046,2025-12-06T11:29:45.509,PME,2023,,61,,,RUE,DES MERICS,33120,ARCACHON,,33009,,,330091570_C,,,A,,,,LA CONCIERGERIE,33.15Z,NAFRev2,N,33.15Y
324436583,00060,32443658300060,O,2021-04-01,NN,,,2025-12-05T21:48:54.858,true,A,O,,1982-01-01,1000,,,M,CLUA,,JACKY,,,,JACKY,,33.15Z,NAFRev2,,,,NN,,00060,2025-12-06T11:06:33.388,PME,2023,,4,,,,TER RUE DES VIGNES,33470,LE TEICH,,33527,,,,,,A,,,,,33.15Z,NAFRev2,N,33.15Y
326781499,00032,32678149900032,P,2003-01-23,NN,,,2025-12-06T01:55:06.128,true,A,P,,1999-06-14,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],30.12Z,NAFRev2,,,,NN,,00032,2025-12-06T06:38:04.442,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],UZESTE,,33537,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],30.12Z,NAFRev2,N,30.12Y
330713876,00044,33071387600044,O,1988-02-19,NN,,,2025-12-05T21:01:55.316,true,A,O,,1984-11-01,5499,ATELIERS REPARATION MARITIMES INDUSTRIEL,ARMI,,,,,,,,,,33.15Z,NAFRev2,,N,,NN,,00044,2025-12-06T09:14:47.007,,,FACE AU 81 RUE DES ETRANGE,81,,,RUE,DES ETRANGERS,33300,BORDEAUX,,33063,,,330633290_B,419621.44299614534,6424737.678474298,A,,,,,33.15Z,NAFRev2,N,33.15Y
335184461,00036,33518446100036,O,1987-01-01,11,2023,3012ZZ,2025-12-05T17:06:31.839,true,A,O,,1986-03-24,5710,B2 MARINE,,,,,,,,,,,30.12Z,NAFRev2,,N,,11,2023,00036,2025-12-06T07:32:42.681,PME,2023,PARC D ACTIVITES,,,,,DES AUGUSTINS,33360,LATRESNE,,33234,,,,,,A,,,,,30.12Z,NAFRev2,O,30.12Y
337846869,00044,33784686900044,O,2004-02-01,NN,,3012ZZ,2025-12-05T21:54:09.512,true,A,O,,1986-04-01,1000,,,M,RENAUDIN,,STEPHAN,GERMAIN,,,STEPHAN,,33.15Z,NAFRev2,,,,NN,,00044,2025-12-06T10:00:11.899,PME,2023,PORT DU CANAL,67,,,RUE,JULES BARAT,33470,GUJAN-MESTRAS,,33199,,,331990415_B,377853.02604756836,6402010.737263983,A,,,,,33.15Z,NAFRev2,N,33.15Y
340330265,00018,34033026500018,O,1986-12-29,03,2023,3012ZZ,2025-12-05T16:00:18.566,true,A,O,,1986-12-29,5499,NAUTI BOY,,,,,,,,,,,30.12Z,NAFRev2,,N,,03,2023,00018,2025-12-06T08:52:06.818,PME,2023,CLAOUEY,,,,AVENUE,JANE DE BOY,33950,LEGE-CAP-FERRET,,33236,,,332360885_B,369659.22711764206,6415006.640088802,A,,,,,30.12Z,NAFRev2,O,30.12Y
341044154,00019,34104415400019,O,1987-04-29,NN,,3012ZZ,2025-12-06T01:14:40.542,true,A,O,,1987-04-29,1000,,,M,MAURON,,DANIEL,,,,DANIEL,,33.15Z,NAFRev2,,,,NN,,00019,2025-12-06T10:24:41.033,PME,2023,,401,,,AVENUE,DE L’AERODROME,33260,LA TESTE-DE-BUCH,,33529,,,335290025_B,372776.59232181363,6398022.180311877,A,,,,,33.15Z,NAFRev2,O,33.15Y
342012390,00023,34201239000023,O,1987-07-01,41,2023,,2025-12-06T00:13:08.377,true,A,O,,1987-07-01,5710,CONSTRUCTION NAVALE BORDEAUX,,,,,,,,,,,30.12Z,NAFRev2,,N,,41,2023,00023,2025-12-06T05:21:15.495,ETI,2023,CS 81217,162,,,QUAI,DE BRAZZA,33100,BORDEAUX,,33063,,,330631230_B,420453.23977182544,6424489.060558825,A,,,,,30.12Z,NAFRev2,O,30.12Y
347669632,00197,34766963200197,O,2019-01-01,02,2023,,2025-12-05T15:23:57.003,false,A,O,,1988-05-02,5710,COOPERATIVE MARITIME D'ARCACHON,,,,,,,,,,,46.69C,NAFRev2,,N,,21,2023,00015,2025-12-06T05:41:31.12,PME,2023,,1051,,,BOULEVARD,DE L’INDUSTRIE,33260,LA TESTE-DE-BUCH,,33529,,,335291587_B,372406.0910768019,6398472.255027678,A,MOTEURS ET BATEAUX,,,MOTEURS ET BATEAUX,33.15Z,NAFRev2,O,33.15Y
347907370,00055,34790737000055,O,2019-08-01,NN,,3315ZZ,2025-12-05T15:33:45.081,true,A,O,,1988-08-24,1000,,,M,SUAREZ,,JOSE,MANUEL,,,JOSE,,33.15Z,NAFRev2,,,,NN,,00055,2025-12-06T10:45:30.782,PME,2023,,180,,,RUE,MARCEL DASSAULT,33260,LA TESTE-DE-BUCH,,33529,,,335291924_B,373027.0821786519,6398857.3351133745,A,JOSE NAUTIQUE,,,,33.15Z,NAFRev2,N,33.15Y
