siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
326781499,00032,32678149900032,P,2003-01-23,NN,,,2025-12-06T01:55:06.128,true,A,P,,1999-06-14,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],30.12Z,NAFRev2,,,,NN,,00032,2025-12-06T06:38:04.442,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],UZESTE,,33537,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],30.12Z,NAFRev2,N,30.12Y
335184461,00036,33518446100036,O,1987-01-01,11,2023,3012ZZ,2025-12-05T17:06:31.839,true,A,O,,1986-03-24,5710,B2 MARINE,,,,,,,,,,,30.12Z,NAFRev2,,N,,11,2023,00036,2025-12-06T07:32:42.681,PME,2023,PARC D ACTIVITES,,,,,DES AUGUSTINS,33360,LATRESNE,,33234,,,,,,A,,,,,30.12Z,NAFRev2,O,30.12Y
340330265,00018,34033026500018,O,1986-12-29,03,2023,3012ZZ,2025-12-05T16:00:18.566,true,A,O,,1986-12-29,5499,NAUTI BOY,,,,,,,,,,,30.12Z,NAFRev2,,N,,03,2023,00018,2025-12-06T08:52:06.818,PME,2023,CLAOUEY,,,,AVENUE,JANE DE BOY,33950,LEGE-CAP-FERRET,,33236,,,332360885_B,369659.22711764206,6415006.640088802,A,,,,,30.12Z,NAFRev2,O,30.12Y
342012390,00023,34201239000023,O,1987-07-01,41,2023,,2025-12-06T00:13:08.377,true,A,O,,1987-07-01,5710,CONSTRUCTION NAVALE BORDEAUX,,,,,,,,,,,30.12Z,NAFRev2,,N,,41,2023,00023,2025-12-06T05:21:15.495,ETI,2023,CS 81217,162,,,QUAI,DE BRAZZA,33100,BORDEAUX,,33063,,,330631230_B,420453.23977182544,6424489.060558825,A,,,,,30.12Z,NAFRev2,O,30.12Y
389827775,00021,38982777500021,O,2020-01-01,02,2023,3011ZA,2025-12-05T16:33:02.927,true,A,O,,1993-01-20,5499,LACAZE,,,,,,,,,,,30.12Z,NAFRev2,,N,,02,2023,00021,2025-12-06T06:05:05.808,PME,2023,,39,,,RUE,NICEPHORE NIEPCE,33510,ANDERNOS-LES-BAINS,,33005,,,330050928_B,377761.5939223456,6415997.645106781,A,,,,,30.12Z,NAFRev2,O,30.12Y
414509489,00020,41450948900020,O,2011-01-07,NN,,3012ZZ,2025-12-06T00:30:49.014,true,A,O,,1997-11-17,5499,WINDRIDER EUROPE,,,,,,,,,,,30.12Z,NAFRev2,,,,NN,,00020,2025-12-06T10:52:14.1,PME,2023,,,,,AVENUE,JANE DE BOY,33950,LEGE-CAP-FERRET,,33236,,,332360885_B,369659.22711764206,6415006.640088802,A,,,,,30.12Z,NAFRev2,N,30.12Y
421800897,00017,42180089700017,O,1998-11-26,11,2023,3012ZZ,2025-12-06T03:18:13.006,true,A,O,,1998-11-26,5499,STRATO COMPO,,,,,,,,,,,30.12Z,NAFRev2,,,,11,2023,00017,2025-12-06T07:55:59.11,PME,2023,,49,,,ROUTE,DE DEPEE,33590,GRAYAN-ET-L'HOPITAL,,33193,,,331930130_B,379261.49437531363,6487974.469595772,A,,,,,30.12Z,NAFRev2,O,30.12Y
422886465,00026,42288646500026,O,2002-04-15,02,2023,3012ZZ,2025-12-05T17:38:59.498,true,A,O,,1999-04-15,5499,ATLANTIC CONCEPT,,,,,,,,,,,30.12Z,NAFRev2,,,,02,2023,00026,2025-12-06T07:36:38.096,PME,2023,PARC D'ENTREPRISES,12,,,RUE,SUFFREN,33950,LEGE-CAP-FERRET,,33236,,,332361616_B,370446.4166854805,6418428.873507966,A,,,,,30.12Z,NAFRev2,O,30.12Y
432678894,00010,43267889400010,O,2000-08-23,11,2023,3012ZZ,2025-12-06T00:58:58.288,true,A,O,,2000-08-23,5499,DUBOURDIEU 1800,,,,,,,,,,,30.12Z,NAFRev2,,,,11,2023,00010,2025-12-06T08:17:58.776,PME,2023,,,,,PORT,DE LARROS,33470,GUJAN-MESTRAS,,33199,,,33199B222_B,377189.28316395706,6402028.169401701,A,,,,,30.12Z,NAFRev2,O,30.12Y
437509854,00026,43750985400026,O,2010-09-01,NN,,3012ZZ,2025-12-06T04:59:29.695,true,A,O,,2001-05-02,1000,,,M,LA GOUTE,,THIERRY,CHRISTIAN,,,THIERRY,,30.12Z,NAFRev2,,,,NN,,00026,2025-12-06T08:59:49.92,PME,2023,ZONE INDUSTRIELLE,602,,,AVENUE,DE L’AERODROME,33260,LA TESTE-DE-BUCH,,33529,,,335290025_B,372974.0269633865,6397901.406427862,A,PLASTIQUE PRO,,,,30.12Z,NAFRev2,N,30.12Y
447945692,00021,44794569200021,O,2011-09-21,NN,,,2025-12-05T16:58:44.262,true,A,O,,2003-03-01,1000,,,M,PEHOOU-MAYS,,RICHARD,JEAN,,,RICHARD,,30.12Z,NAFRev2,,,,NN,,00021,2025-12-06T10:22:37.235,PME,2023,,,,,,PORT DE GUJAN,33470,GUJAN MESTRAS,,33199,,,33199B228_C,,,A,,,,,30.12Z,NAFRev2,N,30.12Y
450627336,00040,45062733600040,O,2023-12-28,NN,,,2025-12-06T00:40:29.806,false,A,O,,2003-01-01,5710,CONSTRUCTIONS NAVALES RABA,,,,,,,,,,,33.15Z,NAFRev2,,N,,03,2023,00016,2025-12-06T05:16:07.801,PME,2023,,26,,,CHEMIN,DU PETIT BORDES,33260,LA TESTE-DE-BUCH,,33529,,,335292380_B,373443.03,6402054.16,A,,,,,30.12Z,NAFRev2,O,30.12Y
481076891,00029,48107689100029,O,2010-08-01,NN,,3012ZZ,2025-12-05T21:23:15.756,true,A,O,,2005-01-04,1000,,,M,BAPTISTA,,MICHEL,,,,MICHEL,,30.12Z,NAFRev2,,,,NN,,00029,2025-12-06T08:29:09.044,PME,2023,,4,,,IMPASSE,RENE-LOUIS LAFFORGUE,33700,MERIGNAC,,33281,,,332812521_B,410976.1544275042,6423154.324189205,A,,,,,30.12Z,NAFRev2,N,30.12Y
490350329,00036,49035032900036,O,2016-11-02,NN,,3012ZZ,2025-12-06T04:18:25.471,true,A,O,,2006-05-22,1000,,,M,BADRI,,ALEXANDRE,,,,ALEXANDRE,,30.12Z,NAFRev2,,,,NN,,00036,2025-12-06T09:21:06.017,PME,2023,,7,,,RUE,BERNARD PALISSY,33510,ANDERNOS-LES-BAINS,,33005,,,330050071_B,378216.3997194277,6415584.790381642,A,BADRI,,,C.N. BADRI,30.12Z,NAFRev2,N,30.12Y
493333264,00015,49333326400015,O,2006-12-08,02,2023,3012ZZ,2025-12-05T20:26:11.782,true,A,O,,2006-12-08,1000,,,M,BOSSUET,,JEAN BAPTISTE,GUY,,,JEAN BAPTISTE,,30.12Z,NAFRev2,,,,02,2023,00015,2025-12-06T07:09:55.601,PME,2023,,1,,,RUE,ALEXANDRINE,33260,LA TESTE-DE-BUCH,,33529,,,335290076_B,371819.72928893013,6403480.808481376,A,,,,,30.12Z,NAFRev2,O,30.12Y
494106149,00037,49410614900037,O,2021-09-27,NN,,3012ZZ,2025-12-05T17:05:10.942,true,A,O,,2007-02-01,1000,,,M,LAFON,,JEAN-PHILIPPE,,,,JEAN-PHILIPPE,,30.12Z,NAFRev2,,,,NN,,00037,2025-12-06T08:15:03.318,PME,2023,PORT DE LA PASSERELLE,121,,,RUE,PIERRE DANEY,33470,GUJAN-MESTRAS,,33199,,,331990670_B,376747.05268802814,6401877.499884648,A,,,,CHANTIER NAVAL LAFON,30.12Z,NAFRev2,N,30.12Y
511519191,00015,51151919100015,O,2009-03-26,NN,,,2025-12-05T22:51:23.261,true,A,O,,2009-03-26,1000,,,M,PIPE,,ALASTAIR,,,,ALASTAIR,,30.12Z,NAFRev2,,,,NN,,00015,2025-12-06T06:07:10.379,PME,2023,,,,,,ILE DE PATIRAS,33390,SAINT-ANDRONY,,33370,,,,,,A,,,,,30.12Z,NAFRev2,N,30.12Y
511791410,00026,51179141000026,O,2009-06-18,31,2023,,2025-12-06T03:15:34.137,true,A,O,,2009-04-14,5710,CHANTIER NAVAL COUACH - CNC,,,,,,,,,,,30.12Z,NAFRev2,,N,,31,2023,00026,2025-12-06T05:26:29.296,ETI,2023,,10,,,RUE,DE L'YSER,33470,GUJAN-MESTRAS,,33199,,,331990850_B,377275.9077270757,6401791.0138011845,A,,,,,30.12Z,NAFRev2,O,30.13Y
