siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
300685609,00012,30068560900012,O,1973-01-01,21,2023,,2025-12-06T03:50:31.399,true,A,O,,1973-01-01,5710,ROTOMOD,RTM,,,,,,,,,,30.12Z,NAFRev2,,N,,21,2023,00012,2025-12-06T05:18:59.845,PME,2023,ZI JEAN MALEZES,,,,,ZONE INDUST JEAN MALEZE,47240,BON-ENCONTRE,,47032,,,,,,A,,,,,30.12Z,NAFRev2,O,30.12Y
307309898,00020,30730989800020,O,1900-01-01,32,2023,,2025-12-05T17:06:48.615,true,A,O,,1900-01-01,5599,FOUNTAINE PAJOT,,,,,,,,,,,30.12Z,NAFRev2,,N,,41,2023,00020,2025-12-06T06:55:36.807,ETI,2023,ZONE INDUSTRIELLE,,,,,,17290,AIGREFEUILLE D'AUNIS,,17003,,,,,,A,FOUNTAINE PAJOT MOTOR YACHTS,,,FOUNTAINE PAJOT MOTOR YACHTS,30.12Z,NAFRev2,O,30.12Y
307309898,00038,30730989800038,O,1999-01-01,31,2023,,2025-12-06T04:41:32.358,false,A,O,,1900-01-01,5599,FOUNTAINE PAJOT,,,,,,,,,,,30.12Z,NAFRev2,,N,,41,2023,00020,2025-12-06T06:55:36.807,ETI,2023,PORT NEUF,,,,BOULEVARD,WINSTON CHURCHILL,17000,LA ROCHELLE,,17300,,,173008425_B,377469.1819418132,6570120.834190834,A,,,,,30.12Z,NAFRev2,O,30.12Y
313781650,00012,31378165000012,O,1900-01-01,22,2023,,2025-12-06T00:05:56.161,true,A,O,,1978-01-01,5599,SA CHANTIERS AMEL,,,,,,,,,,,33.15Z,NAFRev2,,N,,22,2023,00012,2025-12-06T05:23:00.622,PME,2023,,8,,,RUE,JOSEPH CUGNOT,17180,PERIGNY,,17274,,,172740157_B,383285.7018556158,6570089.346444309,A,,,,,30.12Z,NAFRev2,O,30.12Y
315905919,00025,31590591900025,O,2003-02-14,02,2023,,2025-12-05T22:16:01.54,true,A,O,,1979-01-01,5554,SOCIETE COOPERATIVE MARITIME GURE LANA,,,,,,,,,,,30.11Z,NAFRev2,,N,,02,2023,00025,2025-12-06T07:36:30.004,PME,2023,,12,,,QUAI,PASCAL ELISSALT,64500,CIBOURE,,64189,,,641890650_B,322016.35418089555,6265237.537065746,A,,,,,30.11Z,NAFRev2,O,30.11Y
326379633,00018,32637963300018,O,1982-12-01,NN,,,2025-12-05T20:41:48.703,true,A,O,,1982-12-01,5710,OCQUETEAU SA,,,,,,,,,,,30.12Z,NAFRev2,,,,NN,,00018,2025-12-06T08:04:22.831,,,,,,,LD,ORS,17480,LE CHATEAU D'OLERON,,17093,,,,,,A,,,,,30.12Z,NAFRev2,N,30.12Y
326781499,00032,32678149900032,P,2003-01-23,NN,,,2025-12-06T01:55:06.128,true,A,P,,1999-06-14,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],30.12Z,NAFRev2,,,,NN,,00032,2025-12-06T06:38:04.442,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],UZESTE,,33537,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],30.12Z,NAFRev2,N,30.12Y
334307386,00022,33430738600022,O,1997-01-06,01,2023,3012ZZ,2025-12-05T19:53:04.965,true,A,O,,1985-12-09,1000,,,M,ROQUEGEOFFRE,,STEPHANE,,,,STEPHANE,,30.12Z,NAFRev2,,,,01,2023,00022,2025-12-06T08:39:57.022,PME,2023,,,,,,PORT D ENVEAUX,24220,SAINT-VINCENT-DE-COSSE,,24510,,,,,,A,AU CANOE ROQUEGEOFFRE DU PORT D ENV,,,,30.12Z,NAFRev2,O,30.12Y
335184461,00036,33518446100036,O,1987-01-01,11,2023,3012ZZ,2025-12-05T17:06:31.839,true,A,O,,1986-03-24,5710,B2 MARINE,,,,,,,,,,,30.12Z,NAFRev2,,N,,11,2023,00036,2025-12-06T07:32:42.681,PME,2023,PARC D ACTIVITES,,,,,DES AUGUSTINS,33360,LATRESNE,,33234,,,,,,A,,,,,30.12Z,NAFRev2,O,30.12Y
337909063,00105,33790906300105,O,2015-10-09,02,2023,,2025-12-06T04:22:32.82,false,A,O,,1986-05-24,5499,SARL AYROLES AUTO RECUPER,,,,,,,,,,,45.20A,NAFRev2,,,,03,2023,00022,2025-12-25T13:16:54.984,PME,2023,PARC ECONOMIQUE DE RORTHAIS,,,,RUE,DE L’ATLANTIQUE,79700,MAULEON,,79079,,,79079odfd5q_B,419223.4101317921,6651727.372766205,A,,,,,30.12Z,NAFRev2,O,30.12Y
